bibitem,SMD_R
"Santiago, M. S. P. T. M., & Toppe, L. (2020). Effects of Cooperation and Competition on Preschoolers' Prosociality Toward Third-Parties.",0.32762406231144087
"Morschheuser, B., Riar, M., Hamari, J., & Maedche, A. (2017). How games induce cooperation? A study on the relationship between game features and we-intentions in an augmented reality game. Computers in human behavior, 77, 169-183.",NA
"Vang, M. H., & Fox, J. (2014). Race in virtual environments: Competitive versus cooperative games with black or white avatars. Cyberpsychology, Behavior, and Social Networking, 17(4), 235-240.",0.21650877288804704
"Velez, J. A., Greitemeyer, T., Whitaker, J. L., Ewoldsen, D. R., & Bushman, B. J. (2016). Violent video games and reciprocity: The attenuating effects of cooperative game play on subsequent aggression. Communication Research, 43(4), 447-467.",0.1603994129942459
"Velez, J. A., Greitemeyer, T., Whitaker, J. L., Ewoldsen, D. R., & Bushman, B. J. (2016). Violent video games and reciprocity: The attenuating effects of cooperative game play on subsequent aggression. Communication Research, 43(4), 447-467.",-0.4310919272268735
"Breves, P. (2020). Reducing Outgroup Bias through Intergroup Contact with Non-Playable Video Game Characters in VR. PRESENCE: Virtual and Augmented Reality, 27(3), 257-273.",-0.2744176656129569
"Breves, P. (2020). Reducing Outgroup Bias through Intergroup Contact with Non-Playable Video Game Characters in VR. PRESENCE: Virtual and Augmented Reality, 27(3), 257-273.",-0.07775831396920554
"Alloway, T. P., & Carpenter, R. (2019). “Gotta Catch ‘Em All”-Can Playing Pokémon Go Influence Mood and Empathy?. Game Studies, 19(2).",0.07633365385053698
"Alloway, T. P., & Carpenter, R. (2019). “Gotta Catch ‘Em All”-Can Playing Pokémon Go Influence Mood and Empathy?. Game Studies, 19(2).",-0.133038021047547
"Alloway, T. P., & Carpenter, R. (2019). “Gotta Catch ‘Em All”-Can Playing Pokémon Go Influence Mood and Empathy?. Game Studies, 19(2).",0.10000000000000053
"Alloway, T. P., & Carpenter, R. (2019). “Gotta Catch ‘Em All”-Can Playing Pokémon Go Influence Mood and Empathy?. Game Studies, 19(2).",-0.09155451749145455
"Shoshani, A., Braverman, S., & Meirow, G. (2021). Video games and close relations: Attachment and empathy as predictors of children's and adolescents' video game social play and socio-emotional functioning. Computers in Human Behavior, 114, 106578.",NA
"Badatala, A., Leddo, J., Islam, A., Patel, K., & Surapaneni, P. (2016). The effects of playing cooperative and competitive video games on teamwork and team performance. International Journal of Humanities and Social Science Research, 2(12), 24-28.",3.4058772731852804
"Alladin, A. J. E. (2015). Variation in degrees of Prosocial and Risk-Taking Behavior of MOBA Gamers (Doctoral dissertation, University of Santo Tomas).",0.09489151642654307
"Cao, S., Wang, Y., Yang, K., Chen, Y., & Song, G. Wenqian Zheng. (2020). The Impact of Social Value Orientation, Game Context and Trust on Cooperative Behavior After Cooperative Video Game Play.",2.1180371946121705
"Middleton, J. A. (2014). EXPOSURE TO VIOLENT AND PROSOCIAL VIDEO GAMES: EFFECTS ON HOSTILE ATTRIBUTION BIAS, AGGRESSION, AGGRESSIVE DRIVING TENDENCIES, AND EMPATHY.",-0.10012523486435178
"Shoshani, A., & Krauskopf, M. (2021). The Fortnite social paradox: The effects of violent-cooperative multi-player video games on children's basic psychological needs and prosocial behavior. Computers in Human Behavior, 116, 106641.",0.317375082030907
"Shoshani, A., & Krauskopf, M. (2021). The Fortnite social paradox: The effects of violent-cooperative multi-player video games on children's basic psychological needs and prosocial behavior. Computers in Human Behavior, 116, 106641.",0.364861523374645
"Verheij, T., Bleize, D. N., & Cook, C. L. (2020). Friendly Fire Off. Press Start, 6(1), 69-96.",NA
"Wu, L., & Kim, M. (2019). See, touch, and feel: Enhancing young children's empathy learning through a tablet game. Mind, Brain, and Education, 13(4), 341-351.",0.9580984377613949
"Wu, L., & Kim, M. (2019). See, touch, and feel: Enhancing young children's empathy learning through a tablet game. Mind, Brain, and Education, 13(4), 341-351.",0.21706673135540105
"Saleme, P., Dietrich, T., Pang, B., & Parkinson, J. (2020). A gamified approach to promoting empathy in children. Journal of Social Marketing.",0.22086305214969326
"Stiff, C., & Bowen, T. (2016). Two-player game: Playing casual video games with outgroup members reduces levels of prejudice toward that outgroup. International Journal of Human–Computer Interaction, 32(12), 912-920.",0.6040475109832053
"Stiff, C., & Bowen, T. (2016). Two-player game: Playing casual video games with outgroup members reduces levels of prejudice toward that outgroup. International Journal of Human–Computer Interaction, 32(12), 912-920.",0.5981419209370025
"Stiff, C., & Bowen, T. (2016). Two-player game: Playing casual video games with outgroup members reduces levels of prejudice toward that outgroup. International Journal of Human–Computer Interaction, 32(12), 912-920.",0.7540815958863061
"Stiff, C., & Bowen, T. (2016). Two-player game: Playing casual video games with outgroup members reduces levels of prejudice toward that outgroup. International Journal of Human–Computer Interaction, 32(12), 912-920.",0.7478991596638661
"Eden, S., & Eshet-Alkalai, Y. (2014). The effect of digital games and game strategies on young adolescents' aggression. Journal of educational computing research, 50(4), 449-466.",-0.13692496460771814
"Eden, S., & Eshet-Alkalai, Y. (2014). The effect of digital games and game strategies on young adolescents' aggression. Journal of educational computing research, 50(4), 449-466.",-0.5331955154615365
"Charewicz, N. (2019). EFFECTS OF COOPERATIVE AND COMPETITIVE GAME PLAYING ON EMPATHY (Doctoral dissertation, Ryerson University).",0.5996009593343652
"Charewicz, N. (2019). EFFECTS OF COOPERATIVE AND COMPETITIVE GAME PLAYING ON EMPATHY (Doctoral dissertation, Ryerson University).",0.27317835766096044
"Shaza, M., Yu, V., Alvarez, K., & Chen, V. H. H. (2021, January). The Impact of Meaningful Game Narratives on Attitudes towards Racial Outgroups. In Proceedings of the 54th Hawaii International Conference on System Sciences (p. 1395).",0.576436137627295
"Shaza, M., Yu, V., Alvarez, K., & Chen, V. H. H. (2021, January). The Impact of Meaningful Game Narratives on Attitudes towards Racial Outgroups. In Proceedings of the 54th Hawaii International Conference on System Sciences (p. 1395).",0.2526905386357917
"Shaza, M., Yu, V., Alvarez, K., & Chen, V. H. H. (2021, January). The Impact of Meaningful Game Narratives on Attitudes towards Racial Outgroups. In Proceedings of the 54th Hawaii International Conference on System Sciences (p. 1395).",0.1917378505254729
"Shaza, M., Yu, V., Alvarez, K., & Chen, V. H. H. (2021, January). The Impact of Meaningful Game Narratives on Attitudes towards Racial Outgroups. In Proceedings of the 54th Hawaii International Conference on System Sciences (p. 1395).",0.042721537370728424
"Loparev, A. (2016). The impact of collaborative scaffolding in educational video games on the collaborative support skills of middle school students. University of Rochester.",-0.13015700919409687
"Fernandes, R., XIE, X., & YAMANAKA, T. (2020). Group Games, Trust & Cooperation-Playing Dance Games and Having Increased Impressions of Group Energy Lead to Higher Levels of Trust among Elementary School Children. International Journal of Affective Engineering, 19(3), 245-257.",4.237628705821941
"Garaigordobil, M., Berrueco, L., & Celume, M. (2022). Developing children’s creativity and social-emotional competencies through play: Summary of twenty years of findings of the evidence-based interventions “game program” (Journal of Intelligence)",-0.02833085308695554
"Garaigordobil, M., Berrueco, L., & Celume, M. (2022). Developing children’s creativity and social-emotional competencies through play: Summary of twenty years of findings of the evidence-based interventions “game program” (Journal of Intelligence)",-0.3324184196922496
"Shoshani, A. (2023). From virtual to prosocial reality: The effects of prosocial virtual reality games on preschool Children's prosocial tendencies in real life environments (Computers in Human Behavior)",NA
"Shoshani, A. (2023). From virtual to prosocial reality: The effects of prosocial virtual reality games on preschool Children's prosocial tendencies in real life environments (Computers in Human Behavior)",NA
"Tountopoulou, M., Drosos, N., Triantafillopoulou, M., Vlachaki, F., Daras, P., Vretos, N., & Lelis, A. (2021). Training of Prosocial Skills to Migrant Groups Through Serious Games (Advances in Social Sciences Research Journal)",0.04893841153017223
"Tountopoulou, M., Drosos, N., Triantafillopoulou, M., Vlachaki, F., Daras, P., Vretos, N., & Lelis, A. (2021). Training of Prosocial Skills to Migrant Groups Through Serious Games (Advances in Social Sciences Research Journal)",0.1364783117348754
"Eriksson, M., Kenward, B., Poom, L., & Stenberg, G. (2021). The behavioral effects of cooperative and competitive board games in preschoolers.",0.7135743247658307
